"V1_0-9_years","V2_10-19_years","V3_20-29_years","V4_30-39_years","V5_40-49_years","V6_50-59_years","V7_60-69_years","V8_70+_years","Count","Count_people"
"0","0","0","0","0","0","0","1",130077,130077
"0","0","0","0","0","0","0","2",86316,172632
"0","0","0","0","0","0","0","3",1002,3006
"0","0","0","0","0","0","0","4",96,384
"0","0","0","0","0","0","0","5",9,45
"0","0","0","0","0","0","1","0",77754,77754
"0","0","0","0","0","0","1","1",42441,84882
"0","0","0","0","0","0","1","2",864,2592
"0","0","0","0","0","0","1","3",54,216
"0","0","0","0","0","0","2","0",76518,153036
"0","0","0","0","0","0","2","1",1251,3753
"0","0","0","0","0","0","2","2",117,468
"0","0","0","0","0","0","3","0",789,2367
"0","0","0","0","0","0","3","1",57,228
"0","0","0","0","0","0","3","2",9,45
"0","0","0","0","0","0","4","0",45,180
"0","0","0","0","0","1","0","0",64683,64683
"0","0","0","0","0","1","0","1",10431,20862
"0","0","0","0","0","1","0","2",2238,6714
"0","0","0","0","0","1","0","3",39,156
"0","0","0","0","0","1","1","0",42261,84522
"0","0","0","0","0","1","1","1",1179,3537
"0","0","0","0","0","1","1","2",120,480
"0","0","0","0","0","1","2","0",792,2376
"0","0","0","0","0","1","2","1",60,240
"0","0","0","0","0","1","3","0",54,216
"0","0","0","0","0","1","3","1",6,30
"0","0","0","0","0","2","0","0",54711,109422
"0","0","0","0","0","2","0","1",1461,4383
"0","0","0","0","0","2","0","2",321,1284
"0","0","0","0","0","2","0","3",9,45
"0","0","0","0","0","2","1","0",750,2250
"0","0","0","0","0","2","1","1",90,360
"0","0","0","0","0","2","1","2",9,45
"0","0","0","0","0","2","2","0",78,312
"0","0","0","0","0","2","2","1",6,30
"0","0","0","0","0","3","0","0",735,2205
"0","0","0","0","0","3","0","1",63,252
"0","0","0","0","0","3","0","2",9,45
"0","0","0","0","0","3","1","0",45,180
"0","0","0","0","0","3","1","1",12,60
"0","0","0","0","0","4","0","0",42,168
"0","0","0","0","0","4","0","1",6,30
"0","0","0","0","1","0","0","0",39495,39495
"0","0","0","0","1","0","0","1",4677,9354
"0","0","0","0","1","0","0","2",2781,8343
"0","0","0","0","1","0","0","3",39,156
"0","0","0","0","1","0","1","0",5850,11700
"0","0","0","0","1","0","1","1",1425,4275
"0","0","0","0","1","0","1","2",45,180
"0","0","0","0","1","0","2","0",1566,4698
"0","0","0","0","1","0","2","1",36,144
"0","0","0","0","1","0","3","0",27,108
"0","0","0","0","1","0","3","1",9,45
"0","0","0","0","1","1","0","0",20292,40584
"0","0","0","0","1","1","0","1",741,2223
"0","0","0","0","1","1","0","2",273,1092
"0","0","0","0","1","1","1","0",591,1773
"0","0","0","0","1","1","1","1",93,372
"0","0","0","0","1","1","1","2",6,30
"0","0","0","0","1","1","2","0",72,288
"0","0","0","0","1","1","2","1",12,60
"0","0","0","0","1","1","3","0",9,45
"0","0","0","0","1","2","0","0",609,1827
"0","0","0","0","1","2","0","1",72,288
"0","0","0","0","1","2","0","2",21,105
"0","0","0","0","1","2","1","0",57,228
"0","0","0","0","1","2","1","1",12,60
"0","0","0","0","1","2","2","0",9,45
"0","0","0","0","1","3","0","0",51,204
"0","0","0","0","1","3","0","1",9,45
"0","0","0","0","2","0","0","0",17331,34662
"0","0","0","0","2","0","0","1",606,1818
"0","0","0","0","2","0","0","2",270,1080
"0","0","0","0","2","0","1","0",360,1080
"0","0","0","0","2","0","1","1",120,480
"0","0","0","0","2","0","1","2",6,30
"0","0","0","0","2","0","2","0",135,540
"0","0","0","0","2","0","2","1",6,30
"0","0","0","0","2","1","0","0",393,1179
"0","0","0","0","2","1","0","1",51,204
"0","0","0","0","2","1","0","2",12,60
"0","0","0","0","2","1","1","0",54,216
"0","0","0","0","2","1","1","1",6,30
"0","0","0","0","2","2","0","0",54,216
"0","0","0","0","2","2","0","1",6,30
"0","0","0","0","2","2","1","0",6,30
"0","0","0","0","3","0","0","0",342,1026
"0","0","0","0","3","0","0","1",39,156
"0","0","0","0","3","0","0","2",9,45
"0","0","0","0","3","0","1","0",21,84
"0","0","0","0","3","0","1","1",15,75
"0","0","0","0","3","0","2","0",9,45
"0","0","0","0","3","1","0","0",33,132
"0","0","0","0","3","1","1","0",9,45
"0","0","0","0","3","2","0","0",6,30
"0","0","0","0","4","0","0","0",27,108
"0","0","0","1","0","0","0","0",27231,27231
"0","0","0","1","0","0","0","1",1632,3264
"0","0","0","1","0","0","0","2",792,2376
"0","0","0","1","0","0","0","3",9,36
